Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
"C1, C4",0805,2,0.1uF,
"C2, C3",0805,2,22pF,
C5,0805,1,100nF,
"D1, D2",0805,2,LED,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J3,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"R1, R2, R6",0805,3,10k,
"R3, R4",0805,2,4.7k,
"R5, R7",0805,2,330,
U1,QFP80P900X900X120-32N,1,ATMEGA328P-AN,
U2,SOIC127P600X175-8N,1,DS1337S_,
"U3, U4",SOIC-8_5.3x5.3mm_P1.27mm,2,24LC1025,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,32.768Khz,
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,16MHz,
