Designator,Mid X,Mid Y,Rotation,Layer
BT1,86.3,-68.095,0.0,top
C1,102.3,-70.9,90.0,top
C2,104.15,-65.4,0.0,top
C3,107.3,-83.9,90.0,top
C4,109.05,-65.3,0.0,top
C5,102.3,-74.85,90.0,top
D1,119.6625,-65.4,180.0,top
D2,85.9,-84.6,90.0,top
H1,82.4,-62.9,0.0,top
H2,82.4,-92.4,0.0,top
H3,129.0,-92.6,0.0,top
H4,129.2,-63.3,0.0,top
J1,126.4,-84.41,0.0,top
J2,116.71,-89.3,90.0,top
J3,98.06,-89.6,90.0,top
J4,126.77,-72.24,0.0,top
R1,102.3,-83.2,90.0,top
R2,121.1,-79.9125,90.0,top
R3,121.1,-74.6125,90.0,top
R4,121.0,-69.5125,90.0,top
R5,114.3,-65.3,0.0,top
R6,102.3,-79.1125,90.0,top
R7,89.8,-84.5875,90.0,top
U1,112.3,-75.7,0.0,top
U2,95.2,-82.6,0.0,top
U3,95.2,-66.9,270.0,top
U4,95.0,-74.4,270.0,top
Y1,86.8,-77.2,90.0,top
Y2,114.6,-84.5,180.0,top
